"producto interno bruto por sectores de origen, trimestral, pesos corrientes, millones de pesos corrientes",,,,,
año,quarter,nivel1,nive2,nivel3,valor
2015,q2,Industrias,Manufactura Local,Otras Manufacturas,35240.25517
2015,q3,Industrias,Manufactura Local,Otras Manufacturas,37030.57742
2015,q4,Industrias,Manufactura Local,Otras Manufacturas,35564.37439
2016,q1,Industrias,Manufactura Local,Otras Manufacturas,33040.80116
2016,q2,Industrias,Manufactura Local,Otras Manufacturas,36464.49403
2016,q3,Industrias,Manufactura Local,Otras Manufacturas,42048.3934
2007,q1,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,13648.08453
2007,q2,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,13985.16552
2007,q3,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,15378.01528
2007,q4,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,15285.10812
2008,q1,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,13264.52839
2008,q2,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,14582.85382
2008,q3,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,14796.49958
2008,q4,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,15194.73074
2009,q1,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,13712.95384
2009,q2,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,15054.13935
2009,q3,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,15059.00263
2009,q4,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,15176.08321
2010,q1,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,13756.17676
2010,q2,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,16253.73424
2010,q3,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,17161.18591
2010,q4,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,17190.62458
2011,q1,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,16662.02227
2011,q2,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,18670.22001
2011,q3,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,19550.50658
2011,q4,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,19395.44487
2012,q1,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,17857.51262
2012,q2,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,21014.07233
2012,q3,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,21855.0415
2012,q4,Industrias,Manufactura Zonas Francas,Manufactura Zonas Francas,22079.10977
